time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
533,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
534,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
535,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
536,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
537,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
538,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
539,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
540,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
541,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
542,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
